rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
155,Gerald Melzer,Austria,AUT,1743,137,2017-03-20,0,0,1768
156,Andreas Haider Maurer,Austria,AUT,1742,72,2015-04-19,0,0,1866
157,Tim Smyczek,United States,USA,1741,89,2015-04-05,0,0,1836
158,Dmitry Tursunov,Russian Federation,RUS,1741,20,2006-10-02,0,0,2042
159,Lloyd George Muirhead Harris,South Africa,RSA,1740,47,2021-03-21,0,0,1922
160,Thiago Monteiro,Brazil,BRA,1739,81,2021-03-15,0,0,1846
161,Di Wu,China,CHN,1736,115,2015-09-25,0,0,1794
162,Benjamin Becker,Germany,GER,1734,50,2015-02-02,0,-1,1917
163,Aqeel Khan,Pakistan,PAK,1733,154,2018-02-09,0,-1,1745
164,Ricardo Rodriguez,"Venezuela, Bolivarian Republic of",VEN,1727,144,2018-04-16,0,0,1759
165,Pedro Sousa,Portugal,POR,1726,148,2018-11-19,0,0,1757
166,Elias Ymer,Sweden,SWE,1726,145,2015-04-27,0,0,1740
167,Attila Balazs,Hungary,HUN,1726,90,2020-03-02,0,0,1830
168,Alessandro Giannessi,Italy,ITA,1726,130,2017-07-31,0,0,1776
169,Rogerio Dutra Silva,Brazil,BRA,1725,107,2012-09-21,0,0,1793
170,Peter Polansky,Canada,CAN,1723,121,2011-06-19,0,-1,1778
171,Go Soeda,Japan,JPN,1723,86,2012-07-23,0,0,1836
172,Quentin Halys,France,FRA,1720,148,2016-06-20,0,0,1742
173,Noah Rubin,United States,USA,1720,132,2018-08-13,0,0,1788
174,Evgeny Donskoy,Russian Federation,RUS,1717,92,2015-10-26,0,0,1835
175,Ze Zhang,China,CHN,1717,124,2016-07-22,0,0,1780
176,Dennis Novikov,United States,USA,1714,160,2017-07-31,0,-1,1731
177,Blaz Kavcic,Slovenia,SLO,1714,68,2014-02-07,0,0,1867
178,Emilio Gomez,Ecuador,ECU,1713,152,2017-02-10,0,0,1744
179,Paul Henri Mathieu,France,FRA,1709,13,2007-08-12,0,0,2082
180,Marco Trungelliti,Argentina,ARG,1708,120,2019-05-06,0,0,1794
181,Marco Chiudinelli,Switzerland,SUI,1703,62,2009-11-09,0,0,1882
182,Jozef Kovalik,Slovakia,SVK,1702,119,2018-07-30,0,-1,1806
183,Jurgen Zopp,Estonia,EST,1701,122,2018-07-30,0,0,1800
184,Thomas Fabbiano,Italy,ITA,1701,100,2019-07-15,0,0,1840
185,Wishaya Trongcharoenchaikul,Thailand,THA,1698,145,2019-07-29,0,0,1755
186,Casper Ruud,Norway,NOR,1696,23,2021-04-18,0,0,2007
187,Reda El Amrani,Morocco,MAR,1692,149,2011-10-03,0,0,1741
188,Nicolaas Scholtz,South Africa,RSA,1691,170,2017-05-08,0,0,1712
189,Vincent Millot,France,FRA,1691,160,2017-08-07,0,0,1737
190,Aisam Ul Haq Qureshi,Pakistan,PAK,1690,113,2007-09-17,0,0,1796
191,Facundo Bagnis,Argentina,ARG,1687,105,2021-04-04,0,-1,1804
192,Reilly Opelka,United States,USA,1686,35,2020-08-31,0,0,1976
193,Laurynas Grigelis,Lithuania,LTU,1683,166,2017-02-10,0,0,1716
194,Konstantin Kravchuk,Russian Federation,RUS,1671,168,2017-07-24,0,0,1725
195,Marco Cecchinato,Italy,ITA,1666,39,2018-07-23,0,0,1953
196,Stefan Kozlov,United States,USA,1665,157,2017-06-26,0,0,1738
197,Christian Garin,Chile,CHI,1664,35,2020-11-16,0,0,1972
198,Luis David Martinez,"Venezuela, Bolivarian Republic of",VEN,1663,174,2017-04-14,0,0,1704
199,Adrian Menendez Maceiras,Spain,ESP,1662,168,2018-02-19,0,0,1724
200,Mikael Ymer,Sweden,SWE,1660,80,2021-02-22,0,0,1850
201,Christopher Diaz Figueroa,Guatemala,GUA,1651,162,2014-03-30,0,0,1724
202,Norbert Gombos,Slovakia,SVK,1648,88,2020-11-16,0,0,1837
203,Joao Souza,Brazil,BRA,1646,107,2012-05-13,0,0,1797
205,Franco Skugor,Croatia,CRO,1638,169,2017-05-29,0,0,1717
206,John Patrick Smith,Australia,AUS,1610,168,2016-02-22,0,0,1708
207,Nicolas Jarry,Chile,CHI,1609,45,2019-07-22,0,0,1939
208,Mohamed Safwat,Egypt,EGY,1584,176,2020-01-13,0,0,1694
209,Cem Ilkel,Turkey,TUR,1520,182,2020-01-13,0,0,1648
