,Player1,Player2,Outcome
2592,Bernard Tomic,Evgeny Donskoy,1
2597,Steve Johnson,Roberto Bautista Agut,1
2598,Kevin Anderson,Aljaz Bedene,1
2602,Grigor Dimitrov,Ryan Harrison,1
2606,Andreas Seppi,Leonardo Mayer,1
2610,Stan Wawrinka,Joao Sousa,1
2626,Milos Raonic,Matthew Ebden,1
2637,Malek Jaziri,Gael Monfils,-1
2641,Martin Klizan,Rafael Nadal,1
2643,Gilles Simon,Robin Haase,1
2649,Bernard Tomic,Tomas Berdych,1
2669,Denis Kudla,Kei Nishikori,-1
2670,Richard Gasquet,Nick Kyrgios,1
2671,Jiri Vesely,Gael Monfils,1
2674,Novak Djokovic,Gilles Simon,1
2677,Marin Cilic,Tomas Berdych,1
2679,Kevin Anderson,Fabio Fognini,1
2682,Stan Wawrinka,Denis Istomin,1
2683,Feliciano Lopez,John Isner,1
2688,Nick Kyrgios,Jiri Vesely,1
2689,Mikhail Kukushkin,Rafael Nadal,1
2691,Jeremy Chardy,Marin Cilic,-1
2693,Grigor Dimitrov,Leonardo Mayer,1
2694,Stan Wawrinka,Feliciano Lopez,1
2696,Milos Raonic,Kei Nishikori,1
2697,Nick Kyrgios,Rafael Nadal,1
2698,Novak Djokovic,Marin Cilic,1
2700,Stan Wawrinka,Roger Federer,1
2701,Milos Raonic,Nick Kyrgios,1
2702,Novak Djokovic,Grigor Dimitrov,1
2703,Roger Federer,Milos Raonic,1
2704,Novak Djokovic,Roger Federer,1
2831,Novak Djokovic,Aljaz Bedene,1
2836,Dominic Thiem,Roberto Bautista Agut,1
2837,Feliciano Lopez,Denis Kudla,1
2839,Lucas Pouille,Gael Monfils,1
2845,Sam Querrey,Vasek Pospisil,1
2848,Robin Haase,Gilles Simon,-1
2850,Kyle Edmund,Steve Johnson,-1
2855,John Millman,Leonardo Mayer,-1
2866,Jordan Thompson,Joao Sousa,-1
2871,Federico Delbonis,Nick Kyrgios,1
2872,Andreas Seppi,Denis Istomin,1
2878,Feliciano Lopez,Adrian Mannarino,1
2882,Stan Wawrinka,Marius Copil,1
2887,Marcel Granollers,Gilles Simon,-1
2891,Philipp Kohlschreiber,Bernard Tomic,1
2901,Nick Kyrgios,Ivo Karlovic,1
2902,Jeremy Chardy,Andreas Seppi,1
2904,Novak Djokovic,Fernando Verdasco,1
2911,Steve Johnson,Kei Nishikori,1
2914,Kevin Anderson,Richard Gasquet,1
2918,Malek Jaziri,Nick Kyrgios,-1
2919,Andreas Seppi,Roger Federer,1
2921,Feliciano Lopez,Milos Raonic,1
2924,Tomas Berdych,Bernard Tomic,1
2925,Kevin Anderson,Rafael Nadal,-1
2927,Nick Kyrgios,Andreas Seppi,1
2928,Novak Djokovic,Milos Raonic,1
2929,Stan Wawrinka,Kei Nishikori,1
2930,Tomas Berdych,Rafael Nadal,1
2932,Novak Djokovic,Stan Wawrinka,1
3046,Borna Coric,Sam Querrey,1
3051,Vasek Pospisil,Joao Sousa,-1
3053,Denis Istomin,Nick Kyrgios,-1
3054,David Goffin,Filip Krajinovic,1
3056,Andreas Seppi,John Isner,-1
3057,Marin Cilic,Robin Haase,1
3060,Jiri Vesely,Leonardo Mayer,1
3071,Yoshihito Nishioka,Tomas Berdych,-1
3076,Frances Tiafoe,Martin Klizan,-1
3077,Lucas Pouille,Gilles Simon,1
3079,Dominic Thiem,Aljaz Bedene,1
3095,Jeremy Chardy,John Isner,1
3102,Pablo Andujar,Philipp Kohlschreiber,1
3103,Fabio Fognini,Benoit Paire,-1
3105,Stan Wawrinka,Dusan Lajovic,1
3107,Martin Klizan,Gilles Simon,-1
3109,Dominic Thiem,Pablo Cuevas,1
3111,Marcel Granollers,Roger Federer,-1
3113,Richard Gasquet,Kevin Anderson,1
3117,David Goffin,Jeremy Chardy,-1
3118,Marin Cilic,Leonardo Mayer,1
3122,Benoit Paire,Tomas Berdych,1
3123,Stan Wawrinka,Steve Johnson,1
3125,Gael Monfils,Pablo Cuevas,1
3126,Damir Dzumhur,Roger Federer,-1
3127,Novak Djokovic,Richard Gasquet,1
3133,Stan Wawrinka,Gilles Simon,1
3134,Gael Monfils,Roger Federer,1
3135,Novak Djokovic,Rafael Nadal,1
3138,Stan Wawrinka,Roger Federer,1
3141,Novak Djokovic,Stan Wawrinka,1
3253,Fabio Fognini,Steve Johnson,1
3254,Borna Coric,Rafael Nadal,1
3255,Kei Nishikori,Benoit Paire,1
3259,Marin Cilic,Guido Pella,1
3260,Matthew Ebden,Grigor Dimitrov,-1
3266,Kevin Anderson,Andrey Rublev,1
3271,Bernard Tomic,Damir Dzumhur,1
3274,John Isner,Malek Jaziri,1
3275,Leonardo Mayer,Roger Federer,-1
3279,Milos Raonic,Fernando Verdasco,1
3281,Fabio Fognini,Pablo Cuevas,1
3286,Marin Cilic,Evgeny Donskoy,1
3287,Mikhail Kukushkin,Grigor Dimitrov,1
3288,Jeremy Chardy,Martin Klizan,1
3290,Stan Wawrinka,Hyeon Chung,1
3300,Robin Haase,Richard Gasquet,1
3304,Novak Djokovic,Andreas Seppi,1
3305,Roberto Bautista Agut,David Goffin,1
3306,Milos Raonic,Feliciano Lopez,-1
3307,Fabio Fognini,Rafael Nadal,1
3310,Marin Cilic,Mikhail Kukushkin,1
3314,Kevin Anderson,Dominic Thiem,1
3317,Bernard Tomic,Richard Gasquet,-1
3318,John Isner,Jiri Vesely,1
3319,Philipp Kohlschreiber,Roger Federer,-1
3320,Novak Djokovic,Roberto Bautista Agut,1
3321,Feliciano Lopez,Fabio Fognini,1
3323,Marin Cilic,Jeremy Chardy,1
3326,Tomas Berdych,Richard Gasquet,1
3327,John Isner,Roger Federer,-1
3328,Novak Djokovic,Feliciano Lopez,1
