,nServes,Ace_Avg,SSpeed,nPlays,nNets,Net_Avg,Net_Win,Unf_Err
Radek Stepanek,2684.0,0.06892697466467958,82.85469448584203,587057.0,912.0,0.0015739527848232795,0.6326754385964912,0.0011566168191504405
Juan Monaco,2952.0,0.04031165311653117,86.59586720867208,508238.0,449.0,0.0009306663413597567,0.7104677060133632,0.001703926113356341
Pablo Cuevas,2646.0,0.07634164777021918,72.59901738473167,503497.0,303.0,0.0006017910732338028,0.6699669966996701,0.0014081513891840468
Gilles Simon,8191.0,0.04761323403735808,88.6922231717739,859216.0,1360.0,0.0016340477830952872,0.6882352941176472,0.002432450047485149
Robin Haase,3241.0,0.0931811169392163,73.57327985189757,760498.0,688.0,0.0009428032683846638,0.6671511627906977,0.0010335332900283762
Donald Young,3964.0,0.043642785065590314,67.4719979818365,740325.0,993.0,0.00135616114544288,0.6435045317220544,0.0015587748623915173
Federico Delbonis,1446.0,0.06085753803596127,65.91632088520055,382184.0,318.0,0.0008320599501810646,0.6761006289308176,0.0012585560881669562
Jan Lennard Struff,882.0,0.09863945578231292,85.04875283446712,260500.0,190.0,0.0007293666026871402,0.6578947368421053,0.0011247600767754318
Ryan Harrison,2966.0,0.07720836142953473,91.59642616318274,637629.0,495.0,0.0007904282898048865,0.5777777777777777,0.0011495713024344879
Yuichi Sugita,979.0,0.0602655771195097,57.08273748723187,244678.0,161.0,0.0006580076672197746,0.6832298136645962,0.0011974922142571052
Andreas Seppi,5406.0,0.07880133185349612,71.48834628190899,776795.0,751.0,0.0009873904955618922,0.7390146471371505,0.002112526470947934
Jared Donaldson,1044.0,0.08333333333333333,70.98180076628353,216876.0,125.0,0.0005763662184842951,0.632,0.001378667994614434
Steve Darcis,1945.0,0.067866323907455,82.71516709511567,412498.0,380.0,0.0009430348753206077,0.6842105263157895,0.0011078841594383488
Andrey Kuznetsov,2784.0,0.0653735632183908,81.0003591954023,464716.0,529.0,0.0011383296464937726,0.718336483931947,0.0017688222484269962
Florian Mayer,2535.0,0.06587771203155819,92.97514792899408,551845.0,676.0,0.0012539753010356168,0.6405325443786983,0.00106370448223686
Jerzy Janowicz,4349.0,0.10531156587721316,86.85513911243964,601751.0,814.0,0.00135271898177153,0.7002457002457004,0.0020689620789994534
Denis Istomin,3802.0,0.08548132561809575,69.2364544976328,712276.0,719.0,0.0010206717620697596,0.6536856745479832,0.0015878676243478653
Karen Khachanov,1292.0,0.09210526315789473,58.839783281733745,185250.0,134.0,0.0007233468286099865,0.6567164179104478,0.00205668016194332
Ivo Karlovic,3676.0,0.19069640914036998,89.7385745375408,583452.0,1842.0,0.003201634410371376,0.5765472312703583,0.0014242816889821269
Peter Gojowczyk,461.0,0.06941431670281996,52.3058568329718,115317.0,85.0,0.0007370986064500464,0.788235294117647,0.0013527927365436145
Benoit Paire,5428.0,0.08216654384672072,78.48028739867355,825760.0,1332.0,0.0016348575857391978,0.6576576576576576,0.0023081767099399344
Jeremy Chardy,5198.0,0.09926894959599845,96.40707964601769,891195.0,1106.0,0.0012522511908168246,0.666365280289331,0.0017874875868917578
Nicolas Mahut,3831.0,0.07126076742364916,77.3858000522057,734190.0,1396.0,0.0019232078889660712,0.5895415472779371,0.0013511488851659652
Tommy Robredo,3925.0,0.055796178343949045,88.26369426751593,454861.0,554.0,0.0012751148152952221,0.7364620938628159,0.0017785653199548874
Jiri Vesely,2439.0,0.08733087330873308,74.04469044690447,455426.0,555.0,0.0012186392520409464,0.6846846846846847,0.00120326902724043
Guido Pella,1140.0,0.07017543859649124,99.75350877192983,302101.0,142.0,0.00047004147619504735,0.6971830985915493,0.000910291591222803
Daniel Evans,1726.0,0.07647740440324449,87.60486674391657,255258.0,434.0,0.0017002405409428892,0.684331797235023,0.001633641257081071
Aljaz Bedene,2156.0,0.11131725417439703,67.4930426716141,480844.0,316.0,0.0006571777957092113,0.6740506329113924,0.0012478059412200215
John Millman,1996.0,0.05561122244488978,77.04258517034069,354058.0,245.0,0.0006919770207141203,0.6448979591836734,0.0015025786735506613
Mikhail Kukushkin,2812.0,0.05476529160739687,68.27560455192032,523023.0,418.0,0.0008221435768599087,0.6363636363636364,0.0016404632301065154
Bernard Tomic,7143.0,0.10583788324233516,94.43105137897243,884133.0,1017.0,0.0011717694057342052,0.7050147492625368,0.0021648326665784446
Yoshihito Nishioka,861.0,0.04529616724738676,80.37514518002322,236310.0,97.0,0.00041047776226143623,0.6907216494845361,0.0008421141720621217
Denis Shapovalov,406.0,0.07142857142857142,72.76354679802955,72751.0,106.0,0.0014570246457093373,0.6792452830188679,0.0015807342854393753
Horacio Zeballos,1224.0,0.10457516339869281,50.555555555555564,290263.0,226.0,0.0007786042313350307,0.7035398230088495,0.0009646424105035778
Ernests Gulbis,3298.0,0.11370527592480291,91.26622195269859,600161.0,587.0,0.000996399299521295,0.6967632027257242,0.0016545560274659633
Daniil Medvedev,518.0,0.07722007722007722,41.41891891891892,127448.0,58.0,0.00045508756512459986,0.6724137931034483,0.00098079216621681
Simone Bolelli,2550.0,0.056862745098039215,76.0356862745098,563031.0,413.0,0.0007424102758107458,0.738498789346247,0.0015256708778024655
Martin Klizan,2672.0,0.048278443113772454,79.27769461077844,595323.0,516.0,0.000866756365871972,0.6182170542635659,0.0016024914206237623
Dudi Sela,2468.0,0.04051863857374392,57.395056726094005,537798.0,469.0,0.0008925284214519206,0.6929637526652452,0.001141692605773915
Taylor Harry Fritz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dustin Brown,2201.0,0.09132212630622444,77.0145388459791,467461.0,913.0,0.0019531041092198068,0.5761226725082147,0.0011059746160642279
Marton Fucsovics,99.0,0.12121212121212122,96.22222222222223,44020.0,13.0,0.00029532030895047703,0.6923076923076923,0.00027260336210813266
Lukas Rosol,3176.0,0.09130982367758186,70.16089420654912,528399.0,661.0,0.0012850137869299526,0.6777609682299547,0.0018187013979965897
Dusan Lajovic,1988.0,0.06136820925553321,35.725352112676056,425010.0,242.0,0.0005693983670972448,0.7479338842975206,0.0011952659937413236
Ruben Bemelmans,970.0,0.06907216494845361,49.62061855670103,200679.0,215.0,0.0010713627235535358,0.7116279069767442,0.0011411258776453939
Nikoloz Basilashvili,1189.0,0.050462573591253154,52.35660218671152,242996.0,105.0,0.0004321058782860623,0.5523809523809524,0.0015473505736719945
Darian King,138.0,0.014492753623188406,101.76086956521739,28731.0,18.0,0.000626500991959904,0.6666666666666666,0.0013574188159131252
Vasek Pospisil,2461.0,0.11093051605038602,74.20316944331573,460971.0,621.0,0.0013471563287061443,0.6666666666666666,0.0014686390250145888
Sergiy Stakhovsky,2673.0,0.07669285447063226,76.01122334455668,584157.0,1005.0,0.0018060213264584693,0.6208955223880597,0.0011195620355486625
Filip Krajinovic,578.0,0.07958477508650519,76.31833910034602,178991.0,111.0,0.0006201429122134633,0.6306306306306306,0.0008994865663636719
Thomaz Bellucci,2277.0,0.06280193236714976,68.52613087395696,590547.0,439.0,0.0007569253590315419,0.6241457858769932,0.0012869424448858431
Yen Hsun Lu,814.0,0.06756756756756756,50.80958230958231,254562.0,121.0,0.00047532624665111054,0.7355371900826446,0.0007660216371650129
Tommy Haas,2898.0,0.08281573498964803,90.07729468599034,459935.0,607.0,0.0013458423472882037,0.6886326194398683,0.0018111254851228978
Andrej Martin,228.0,0.0043859649122807015,85.89473684210526,31074.0,48.0,0.0015446997489862908,0.6875,0.0018343309519212204
