,Rafael Nadal,Roger Federer,Grigor Dimitrov,Alexander Zverev,Dominic Thiem,Marin Cilic,David Goffin,Jack Sock,Stan Wawrinka,Pablo Carreno Busta,Juan Martin Del Potro,Novak Djokovic,Sam Querrey,Kevin Anderson,Jo Wilfried Tsonga,Andy Murray,John Isner,Lucas Pouille,Tomas Berdych,Roberto Bautista Agut,Nick Kyrgios,Kei Nishikori,Albert Ramos,Milos Raonic,Gilles Muller,Diego Sebastian Schwartzman,Fabio Fognini,Adrian Mannarino,Philipp Kohlschreiber,Damir Dzumhur,Richard Gasquet,Pablo Cuevas,Mischa Zverev,Filip Krajinovic,Fernando Verdasco,Feliciano Lopez,David Ferrer,Alexandr Dolgopolov,Andrey Rublev,Yuichi Sugita,Benoit Paire,Robin Haase,Paolo Lorenzi,Steve Johnson,Karen Khachanov,Gael Monfils,Ryan Harrison,Borna Coric,Aljaz Bedene,Kyle Edmund,Denis Shapovalov,Leonardo Mayer,Jan Lennard Struff,Jared Donaldson,Viktor Troicki,Julien Benneteau,Joao Sousa,Hyeon Chung,Nikoloz Basilashvili,Peter Gojowczyk,Donald Young,Jiri Vesely,Denis Istomin,Guido Pella,Daniil Medvedev,Horacio Zeballos,Dudi Sela,Federico Delbonis,Florian Mayer,Guillermo Garcia Lopez,Yen Hsun Lu,Evgeny Donskoy,Thomas Fabbiano,Mikhail Kukushkin,Dusan Lajovic,Matthew Ebden,Steve Darcis,Jeremy Chardy,Frances Tiafoe,Ivo Karlovic,Pierre Hugues Herbert,Cedrik Marcel Stebe,Victor Estrella,Mikhail Youzhny,Marton Fucsovics,Andreas Seppi,Radu Albot,Laslo Djere,Gilles Simon,Maximilian Marterer,Stefanos Tsitsipas,Lukas Lacko,Marius Copil,Jordan Thompson,Nicolas Kicker,Tennys Sandgren,Blaz Kavcic,Malek Jaziri,Taro Daniel,Gerald Melzer
Richard Gasquet,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Cuevas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mischa Zverev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filip Krajinovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernando Verdasco,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feliciano Lopez,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Ferrer,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandr Dolgopolov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrey Rublev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuichi Sugita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
